127.0.0.1 - - [12/Feb/2014:23:32:36 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Feb/2014:23:32:37 +0530] "GET /JSFWebApp/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [12/Feb/2014:23:32:42 +0530] "POST /JSFWebApp/index.xhtml HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Feb/2014:23:32:50 +0530] "POST /JSFWebApp/welcome.xhtml HTTP/1.1" 500 5730
0:0:0:0:0:0:0:1 - - [12/Feb/2014:23:33:40 +0530] "GET /JSFWebApp/ HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [12/Feb/2014:23:33:42 +0530] "POST /JSFWebApp/index.xhtml HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [12/Feb/2014:23:33:46 +0530] "POST /JSFWebApp/welcome.xhtml HTTP/1.1" 500 5730
0:0:0:0:0:0:0:1 - - [12/Feb/2014:23:35:16 +0530] "GET /JSFWebApp/ HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [12/Feb/2014:23:35:18 +0530] "POST /JSFWebApp/index.xhtml HTTP/1.1" 200 981
